permit_type,dec_id,permit_issued_to,facility_name,facility_street,facility_city,facility_zip,facility_contact,facility_description,facility_mact,facility_nsps,emission_units,controls,stack_height,pollutants,potential_to_emit,emission_unit_description,process_description,monitoring_type,monitoring_frequency,parameter_monitored,upper_permit_limit,lower_permit_limit
Air Title V Facility,4422800076,VON ROLL USA INC,VON ROLL USA INC,200 VON ROLL DR,SCHENECTADY,12306,KAREN TOTH,,"A, JJJJ","A, VVV","1-14CC1, 1-14NC1, 1-14NC2, 1-14SL1, 1-33001, 1-42001, 114CC1, 114NC1, 114NC2","DIRECT FLAME AFTERBURNER, FABRIC FILTER","10, 11, 14, 17, 18, 19, 21, 22, 23, 24, 25, 27, 28, 29, 31, 32, 33, 34, 36, 37, 39, 4, 40, 42, 43, 44, 45, 47, 5, 55, 56, 57, 59, 60","HAP, PARTICULATES, VOC",,,,,,,,
Air State Facility,4422800076,VON ROLL USA INC,VON ROLL USA INC,200 VON ROLL DR,SCHENECTADY,12306,PHILLIP W BROWNING,,"A, JJJJ","A, VVV",1-KISS2,,"33, 36, 39, 56","PARTICULATES, TOTAL HAP",,,,,,,,
Air State Facility,4422800076,VON ROLL USA INC,VON ROLL USA INC,200 VON ROLL DR,SCHENECTADY,12306,"COLLEEN TURCOTTE, SANTINO M CARDELLA",,"A, DDDDD, HHHHH, JJJJ, R, SS",,2-TANKS,CONSERVATION VENT,20,TOTAL HAP,,,,,,,,
Air State Facility,4422800078,WILLIAM M LARNED & SONS INC,WM LARNED & SONS PLANT,544 BURDECK ST,ROTTERDAM,12306,DONALD LARNED,,,"A, OOO",0-0001A,,,PARTICULATES,,,,,,,,
Air Title V Facility,4432400005,TENNESSEE GAS PIPELINE COMPANY,COMPRESSOR STATION 249,2840 US RTE 20,CARLISLE,12031,"LARRY GREBERT, STEVE MORAWSKI",,"A, DDDDD, ZZZZ",,"R-24901, R-24902, R-24903, R24901, R24902, R24903",CATALYTIC OXIDATION,"55, 59","CARBON MONOXIDE, HAP, OXIDES OF NITROGEN, VOC",,,,,,,,
"Air State Facility, Air Title V Facility",4432600017,EFJ INC,MILL SERVICES INC,128 MACARTHUR AVE,COBLESKILL,12043,JIM BENDER,,,,A-00001,"FABRIC FILTER, SINGLE CYCLONE",60,"BENZENE, 1,2,4-TRIMETHYL-, OXIDES OF NITROGEN, TOTAL HAP, VOC",,,,,,,,
Air State Facility,4432600023,STATE UNIVERSITY OF NEW YORK,SUNY COBLESKILL AG & TECH COLLEGE,W MAIN ST,COBLESKILL,12043,GARY COLLINS,,,,U-00001,,33,"OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air State Facility,4433800004,CARVER SAND & GRAVEL LLC,MASICK PIT,4860 ST RTE 30,SCHOHARIE,12157,CARVER SAND & GRAVEL LLC,,,"A, I, OOO","1-MASIK, 1MASIK",FABRIC FILTER,"11, 12, 33, 35, 46","CARBON MONOXIDE, LEAD, OXIDES OF NITROGEN, PARTICULATES, PM-10, POLYCHLORINATED BIPHENYL",,,,,,,,
Air State Facility,4434200001,COBLESKILL STONE PRODUCTS INC,COBLESKILL STONE SCHOHARIE QUARRY & ASPHALT FAC,EASTERN AVE,SCHOHARIE,12157,DAN KLEESCHULTE,,,"A, OOO","1-BC001, 1-BC002, A-00001, A-00002","DUST SUPPRESSION BY WATER SPRAY, FABRIC FILTER",30,"CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, PM-10",,,,,,,,
Air State Facility,4435000008,IROQUOIS GAS TRANSMISSION SYSTEM INC,WRIGHT COMPRESSOR STATION,WESTFALL ROAD,WRIGHT,,JAMES T BARNES,,,"A, GG",1-00001,,40,OXIDES OF NITROGEN,,,,,,,,
Air State Facility,5091300068,"PATRICK M. LEARY AND THERESA R. LAUTENSCHUETZ, LLC",PHIL'S DRY CLEANING,84 MONTCALM AVE,PLATTSBURGH,12901,ASHLEY MILLER,,,,D-CLEAN,,18,STODDARD SOLVENT,,,,,,,,
Air State Facility,5091300110,"BFG INTERNATIONAL USA, LLC","BFG INTERNATIONAL USA, INC",29 DISTRIBUTION WAY|IMPERIAL INDUSTRIAL PARK,PLATTSBURGH,12901,ALISA LANGILLE,,,,U-00001,POLYESTER FILTER,40,"METHYL ACRYLIC ACIDMETHYL ESTER, PARTICULATES, STYRENE, TOTAL HAP, VOC",,,,,,,,
Air Title V Facility,5092800017,WYETH PHARMACEUTICALS INC,WYETH PHARMACEUTICALS,64 MAPLE ST,ROUSES POINT,12979,MARK A MCCULLOUGH,,"VVVVVV, ZZZZ","Dc, Kb","0-00001, 0-00002, 0-00003, 0-00004, 0-00005, 0-00006, 0-00008, 0-00009, 0-00011, 0-00013, 000009, 000013","ACTIVATED CARBON ADSORPTION, CONSERVATION VENT, FABRIC FILTER, HIGH EFFICIENCY PARTICULATE AIR FILTER, PACKED GAS ABSORPTION SYSTEM, GAS, REFRIGERATED CONDENSER, THERMAL OXIDATION, TUBE AND SHELL CONDENSER, VAPOR RECOVERY SYS(INCL.CONDENSERS,HOODING, OTHER ENCLOSURES), WET SCRUBBER","100, 113, 20, 21, 22, 23, 26, 28, 29, 33, 36, 37, 38, 41, 43, 44, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 58, 59, 68, 69, 75","CHLORINE, DICHLOROMETHANE, DIMETHYL KETONE, HAP, HYDROGEN CHLORIDE, METHYL ALCOHOL, OXIDES OF NITROGEN, PARTICULATES, PM-10, SULFUR DIOXIDE, VOC",,,,,,,,
Air State Facility,5093000001,NORTHSTAR 41 LLC,WYETH RESEARCH,641 RIDGE RD,CHAZY,12921,,,,Dc,"0-00001, 0-00002, 0-00003",,"55, 65, 9","OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air State Facility,5094200001,A SCHONBEK & CO INC,A SCHONBEK CO INC,61 INDUSTRIAL BLVD,PLATTSBURGH,12901,LEE PRAY,,,,"O-OEU03, O-OEU06, O-OEU07, O-OEU10",,"11, 20, 22, 23, 24, 26, 28, 45","HAP, VOC",,,,,,,,
"Air State Facility, Solid Waste Management",5094200006,CITY OF PLATTSBURGH,PLATTSBURGH ORGANICS RECYCLING PLANT,REEVES LANE,PLATTSBURGH,12901,JONATHAN P RUFF,,,,1-00001,WET SCRUBBER,"117, 33","AMMONIA, CHLORINE, PARTICULATES, TOTAL REDUCED SULFUR, VOC",,,,,,,,
Air State Facility,5094200034,GRAYMONT MATERIALS (NY) INC,PLATTSBURGH QUARRY,111 QUARRY RD,PLATTSBURGH,12901,NATHAN DUTIL,,,"A, I, OOO","0-00RAP, 0-CRUSH, 0-PQAS2, 0CRUSH, 0PQAS2","BAFFLE, FABRIC FILTER","35, 60","CARBON MONOXIDE, PARTICULATES, PM-10",,,,,,,,
Air Title V Facility,5094200106,SARANAC POWER PARTNERS LP,SARANAC POWER PARTNERS COGENERATION FAC,99 WEED ST EXT,PLATTSBURGH,12901,STEVE WIBLE,,ZZZZ,"A, Da, Db, GG","U-00001, U-00002, U-00003, U-00004, U00001, U00002, U00003","CATALYTIC OXIDATION, SELECTIVE CATALYTIC REDUCTION (SCR)","120, 160","AMMONIA, CARBON MONOXIDE, HAP, OXIDES OF NITROGEN, PARTICULATES, PM 2.5, PM-10, SULFUR DIOXIDE, VOC",,,,,,,,
Air State Facility,5094200201,CAMOPLAST ROCKLAND LTD,CAMOPLAST TRACTION GROUP,1 MARTINA CIR,PLATTSBURGH,12901,JASON DAVIS,,,,1-00001,,24,PARTICULATES,,,,,,,,
Air State Facility,5094200239,WOOD GROUP PRATT & WHITNEY INDUSTRIAL TURBINE SERVIC,WOOD GROUP PRATT & WHITNEY INDUSTRIAL TURBINE SERVICES,LLC,38 COLORADO ST,,ROBERT KASCHAK,,,,0-00001,,35,OXIDES OF NITROGEN,,,,,,,,
Air State Facility,5094200250,SALERNO PACKAGING INC,SALERNO PACKAGING INC,14 GUS LAPHAM LN,PLATTSBURGH,12901,GREG CRITES,,,,"1-PRINT, 4-PRINT",DIRECT FLAME AFTERBURNER WITH HEAT,40,"TOTAL HAP, VOC",,,,,,,,
Air State Facility,5094200311,JEFFORDS STEEL & ENGINEERING CO,JEFFORDS STEEL & ENGINEERING CO,4398 ST RTE 22,PLATTSBURGH,12901,LARRY W JEFFORDS,,,,U-PAINT,,5,"ETHYLBENZENE, HAP, STYRENE, TOLUENE, VOC, XYLENE, M, O & P MIXT.",,,,,,,,
Air State Facility,5094200448,SSF PRODUCTION LLC,"SSF PRODUCTION, LLC",49 WERNER SCHLUTER WAY,PLATTSBURGH,12901,FRANK FILBIR,,,,0-00001,,"15, 2","PARTICULATES, VOC",,,,,,,,
Air State Facility,5094400002,NYS DEPT OF CORRECTIONS AND COMMUNITY SUPERVISION,CLINTON CORRECTIONAL FAC POWERHOUSE,LOWER END FLAGG ST,DANNEMORA,12929,ERIC GREPPO,,JJJJJJ,"Dc, IIII","1-POWER, 2-GENER",,"212, 22","CARBON DIOXIDE EQUIVALENTS, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air Title V Facility,5094600049,NEW ENGLAND WASTE SERVICES OF N Y INC,CLINTON COUNTY REGIONAL LANDFILL,286 SAND RD,MORRISONVILLE,12962,LARRY B LACKEY,,,"A, JJJJ",1-LFGAS,"FLARING, THERMAL OXIDATION","10, 34, 35","CARBON MONOXIDE, OXIDES OF NITROGEN, VOC",,,,,,,,
Air State Facility,5094600101,J E SHEEHAN CONTRACTING CORP,CLINTON COUNTY ASPHALT PLANT,172-195 KELLEY RD - W SIDE - 0.9 MI FROM MILITARY TPKE EXT - S,OF NYSEG POWER LINE ROW,,JAMES E SHEEHAN,,,"A, I",1-BLKTP,FABRIC FILTER,37,"CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air State Facility,5153200009,GRAYMONT MATERIALS (NY) INC,LEWIS QUARRY,EAST SIDE US RT 9 SOUTH OF MOSS RD,LEWIS,12801,NATHAN DUTIL,,,"A, OOO","L-EWISQ, LEWISQ","DUST SUPPRESSION BY WATER SPRAY, FABRIC FILTER","14, 35","CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, PM-10, SULFUR DIOXIDE",,,,,,,,
Air State Facility,5154400010,GRAYMONT MATERIALS (NY) INC,SARANAC LAKE QUARRY,BLOOMINGDALE RD,SARANAC LAKE,12983,JARROD SUTCLIFFE,,,"A, OOO","0-ASP01, 0-CRUSH","BAFFLE, DUST SUPPRESSION BY WATER SPRAY, FABRIC FILTER","35, 55, 60","CARBON MONOXIDE, HAP, OXIDES OF NITROGEN, PARTICULATES, PM-10, SULFUR DIOXIDE, VOC",,,,,,,,
Air Title V Facility,5154800008,INTERNATIONAL PAPER COMPANY,INTERNATIONAL PAPER TICONDEROGA MILL,568 SHORE AIRPORT RD,TICONDEROGA,12883,"CHRISTOPHER P MALLON, DEAN MESSNER",,"A, DDDDD, MM, S",,"0-PAPER, 0-WWTRT, B-PLANT, P-OWERH, P-ULPIN, PULPIN, R-CAUST, R-ECOVB, RECOVB, W-OODYD","ELECTROSTATIC PRECIPITATOR, FABRIC FILTER, MULTIPLE CYCLONE W/O FLY ASH INJECTION, SINGLE CYCLONE, SODIUM-ALKALI SCRUBBING, WET SCRUBBER","10, 102, 11, 136, 169, 200, 201, 205, 24, 25, 30, 31, 32, 33, 35, 36, 37, 39, 40, 43, 47, 50, 59, 60, 68, 75, 79, 80, 81, 83, 9, 91","CHLORINE, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE, TOTAL HAP, TOTAL REDUCED SULFUR",,,,,,,,
Air State Facility,5155200005,NYCO MINERALS INC,NYCO WOLLASTOCOAT PRODUCT PLANT,803 MOUNTAIN VIEW DR,WILLSBORO,12996,GARY ZIEMER,,,,"1-CRUSH, 1-GRIND, 1-MIXER","CENTRIFUGAL, FABRIC FILTER","10, 101, 110, 128, 15, 2, 25, 26, 28, 30, 39, 40, 41, 45, 46, 58, 64, 65, 66, 76, 78, 79, 84, 97, 99","PARTICULATES, TOTAL HAP, VOC",,,,,,,,
Air State Facility,5162800003,GRAYMONT MATERIALS (NY) INC,MALONE QUARRY,QUARRY RD|(FORMERLY TUTTLE RD),NORTH BANGOR,12966,NATHAN DUTIL,,,OOO,"0-ASP01, 0-CRUSH, 0CRUSH","DUST SUPPRESSION BY WATER SPRAY, FABRIC FILTER",35,"CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, PM-10, SULFUR DIOXIDE",,,,,,,,
Air State Facility,5163400012,AGRI-MARK INC,AGRI-MARK INC - CHATEAUGAY PLANT,39 MCCADAM LN,CHATEAUGAY,12920,"MARTY BLAIR, TOM HERBICK",,,Dc,"1-BOILR, 1-WWTMP","ACTIVATED CARBON ADSORPTION, WET SCRUBBER","120, 50","OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air Title V Facility,5163400022,REENERGY CHATEAUGAY LLC,REENERGY CHATEAUGAY LLC,7019 ST RTE 374,CHATEAUGAY,12920,ANTHONY MARCINIAK,,,"A, Db, Kb","U-00001, U-00002, U-00003, U-00004, U-00005, U-00006","CENTRIFUGAL, ELECTROSTATIC PRECIPITATOR","10, 13, 16, 180, 30, 90","CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, PM-10, SULFUR DIOXIDE, VOC",,,,,,,,
Air State Facility,5163400033,NEW ENGLAND WASTE SERVICES OF ME INC,GRASSLANDS DBA CASELLA ORGANICS,283 SMITH RD,CHATEAUGAY,12920,KAREN FLANDERS,,,,1-CPOST,,40,AMMONIA,,,,,,,,
Air State Facility,5165600029,BARRETT PAVING MATERIALS INC,BARRETT PAVING WESTVILLE PLANT,FERRIS RD,WESTVILLE CENTER,13668,SCOTT LOCKERBIE,,,,1-WESTV,"FABRIC FILTER, SINGLE CYCLONE",29,"CARBON MONOXIDE, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air Title V Facility,5169900003,COUNTY OF FRANKLIN SOLID WASTE MGMT AUTH,CFSWMA REGIONAL SOLID WASTE DISPOSAL FAC,828 CO RTE 20,CONSTABLE,12926,GEORGE F EADES,,,A,1-LFGAS,FLARING,"22, 8","CARBON DIOXIDE EQUIVALENTS, METHANE",,,,,,,,
Air State Facility,5170500004,CALLANAN INDUSTRIES INC,"CALLANAN INDUSTRIES GRAVEL PIT, PLANT 67",28 HILL ST,GLOVERSVILLE,12078,PETER E ZEH,,,"A, I",U-BCH01,FABRIC FILTER,18,"CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, PM-10, SULFUR DIOXIDE, VOC",,,,,,,,
Air State Facility,5170500085,ROBISON & SMITH INC,PROFESSIONAL LAUNDERERS & DRYCLEANERS,335 NORTH MAIN ST,GLOVERSVILLE,12078,RICHARD C SMITH,,,Dc,1-02001,"MULTIPLE CYCLONE W/O FLY ASH INJECTION, REFRIGERATED CONDENSER",30,PARTICULATES,,,,,,,,
Air State Facility,5170800003,TOWNSEND LEATHER CO INC,TOWNSEND LEATHER COMPANY,45-49 TOWNSEND AVE,JOHNSTOWN,12095,JEFF MARTIN,,,,F-00001,"BAFFLE, FABRIC FILTER, WATER CURTAIN","16, 18, 22, 7, 8, 9","CHROMIUM, ETHANOL, 2-(2-BUTOXYETHOXY)-, HAP, N,N-DIETHYL ETHANAMINE, PARTICULATES, VOC, XYLENE, M, O & P MIXT.",,,,,,,,
Air State Facility,5170800036,BENJAMIN MOORE & CO,BENJAMIN MOORE & CO,UNION AVE,JOHNSTOWN,12095,PROKOPIS A CHRISTOU,,CCCCCCC,,"U-PP001, U-RT001, U-RT002, U-ST001",FABRIC FILTER,"18, 35","PARTICULATES, VOC",,,,,,,,
Air Title V Facility,5170800038,PEARL LEATHER FINISHERS INC,PEARL LEATHER FINISHERS INC,11-21 INDUSTRIAL PARK,JOHNSTOWN,12095,JOHN RUGGIERO,,"A, TTTT",,F-INISH,WATER CURTAIN,"12, 2, 24, 28, 4, 8","HAP, PARTICULATES, VOC",,,,,,,,
Air Title V Facility,5172800005,FULTON COUNTY,FULTON COUNTY MUD RD SANITARY LANDFILL,847 MUD RD (ST RTE 67),JOHNSTOWN,12095,JEFFREY W BOUCHARD,,ZZZZ,A,1-LFGAS,FLARING,"10, 24",,,,,,,,,
Air Title V Facility,5172800122,INNOVATIVE/FULTON LLC,INNOVATIVE / FULTON,847 MUD RD,JOHNSTOWN,12095,PETER H ZELIFF,,ZZZZ,"A, IIII, JJJJ",1-FLFGE,,35,"CARBON MONOXIDE, OXIDES OF NITROGEN, VOC",,,,,,,,
Air Title V Facility,5411500002,BALL CORPORATION,BALL METAL BEVERAGE CONTAINER CORP,11 ADAMS RD|CADY HILL INDUSTRIAL PARK,SARATOGA SPRINGS,12866,TOM KNIGHT,,,WW,"U-10001, U-10002",FABRIC FILTER,"100, 31, 56","PARTICULATES, VOC",,,,,,,,
Air State Facility,5411500010,PALLETTE STONE CORP,PALLETTE STONE CORP SARATOGA SPRINGS QUARRY,373 WASHINGTON ST|ST RTE 29 AND CO RTE 23,SARATOGA SPRINGS,12866,STEPHEN C. GRIFFEN,,ZZZZ,"A, I, IIII, OOO","U-000CC, U-00BMP, U-00RAP, U-00SCL, U-AGPLT, U000CC, U00SCL, UAGPLT",FABRIC FILTER,"12, 32, 45, 5, 8","CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, PM-10, SULFUR DIOXIDE, VOC",,,,,,,,
Air Title V Facility,5411500011,QUADGRAPHICS INC,QUADGRAPHICS,56 DUPLAINVILLE RD|GRANDE INDUSTRIAL PARK,SARATOGA SPRINGS,12866,KEVIN BECKER,,,,"U-CRTOS, U-PRESS, U-TRIMS","CATALYTIC AFTERBURNER, DIRECT FLAME AFTERBURNER WITH HEAT, FABRIC FILTER, SINGLE CYCLONE, THERMAL OXIDATION","31, 33, 34, 40, 41, 45, 50","PARTICULATES, VOC",,,,,,,,
"Air Title V Facility, Title IV (Phase II Acid Rain)",5412600028,INDECK-ENERGY SERVICES INC,INDECK-CORINTH ENERGY CENTER,24 WHITE ST,CORINTH,12822,"JAMES SCHNEIDER, MICHAEL MINNOLERA",,,"A, GG",U-00001,SELECTIVE CATALYTIC REDUCTION (SCR),237,"AMMONIA, CARBON DIOXIDE, CARBON MONOXIDE, OXIDES OF NITROGEN, PM-10, SULFUR DIOXIDE, VOC",,,,,,,,
Air State Facility,5413800014,SARATOGA COUNTY,SARATOGA CO SEWER DIST #1,US RT 4 - W SIDE - S OF RT 146,MECHANICVILLE,12118,JAMES DIPASQUALE,,,O,"1-00001, 1-00002","GAS SCRUBBER (GENERAL, NOT CLASSIFIED), IMPINGEMENT PLATE SCRUBBER, PACKED-GAS ABSORPTION SYSTEM, WET SCRUBBER","22, 4, 55, 56",PARTICULATES,,,,,,,,
Air State Facility,5413800017,CASCADES TISSUE GROUP NEW YORK INC,CASCADES TISSUE,510 SOUTH MAIN ST,MECHANICVILLE,12118,PHILIPPE BOURASSA,,,,1-00017,,"175, 46","OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air Title V Facility,5414000189,GLOBAL FOUNDRIES US INC,FAB 8,LUTHER FOREST TECHNOLOGY CAMPUS |400 STONE BREAK ROAD,EXTENSION,,BRIAN RALEY,,,"Dc, IIII","0-THERS, B-00001, F-00001","THERMAL OXIDATION, WET SCRUBBER","33, 58, 93, 96","CHLORINE, HAP, HYDROGEN CHLORIDE, HYDROGEN FLUORIDE, OXIDES OF NITROGEN, PARTICULATES, VOC",,,,,,,,
Air Title V Facility,5414000189,GLOBAL FOUNDRIES US INC,FAB 8,LUTHER FOREST TECHNOLOGY CAMPUS |400 STONE BREAK ROAD,EXTENSION,,BRIAN RALEY,,,"Dc, IIII","B-00004, F-00004","THERMAL OXIDATION, WET SCRUBBER","110, 93","CARBON DIOXIDE, CARBON DIOXIDE EQUIVALENTS, CARBON MONOXIDE, CHLORINE, HYDROGEN CHLORIDE, HYDROGEN FLUORIDE, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE, VOC",,,,,,,,
Air State Facility,5414200003,POMPA BROS INC,POMPA BROS QUARRY & MILL,5 PETRIFIED GARDENS RD,SARATOGA SPRINGS,12866,POMPA BROS INC,,ZZZZ,"I, OOO","1-ASHAP, 1-GENER, 1-ROCKC, 1ASHAP, 1GENER, 1ROCKC",,"10, 12, 16, 19, 22, 36, 68","CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air State Facility,5414400004,SCA TISSUE NORTH AMERICA LLC,SCA TISSUE N A,1 RIVER ST,SOUTH GLENS FALLS,12803,BARBARA HEMKEN,,,"A, Dc","1-CLEAN, 1-CMBST, 1-PAPER, 2--MBST",,"31, 42, 46, 54, 72, 9",VOC,,,,,,,,
Air State Facility,5414400013,50 HARRISON AVENUE LLC,50 HARRISON AVENUE LLC,50 HARRISON AVE,SOUTH GLENS FALLS,12803,WILLIAM HAMELIN,,,,H-AGCU1,"FABRIC FILTER, WET SCRUBBER","21, 28","FORMALDEHYDE, NITRIC ACID, PARTICULATES",,,,,,,,
Air State Facility,5414400085,MOMENTIVE SPECIALITY CHEMICALS INC,MOMENTIVE SPECIALTY CHEMICALS INC,64 FARNAN RD,SOUTH GLENS FALLS,12803,KATHLEEN ERVINE,,,"III, Kb, VV","A-00001, A-00002","CATALYTIC AFTERBURNER WITH HEAT, VAPOR LOCK BALANCE RECOVERY SYSTEM","39, 65",VOC,,,,,,,,
Air Title V Facility,5415400002,MPM SILICONES LLC,MOMENTIVE PERFORMANCE MATERIALS,260 HUDSON RIVER RD,WATERFORD,12188,"JOSHUA SPAIN, RUTH YEOMANS",,"A, DD, DDDDD, EEE, F, FFFF, G, GGGGG, H, NNNNN, SS, UU, ZZZZ","A, Db, Kb, NNN, NNN, NNN, NNN, NNN, NNN, NNN, RRR","C-27018, C-27035, C-61007, C-62008, C-62014, E-GNRTR, E-LISTS, F-INISH, H-OFURN, T-13004, T-14009, U-28002, U-28003, W-97004","AMMONIA SCRUBBING, CONSERVATION VENT, DIRECT FLAME AFTERBURNER, DRY LOW NOx BURNER, DUST COLLECTOR, DYNAMIC SEPARATOR (DRY), EJECTOR CONDENSER, FABRIC FILTER, FLOATING ROOF, GAS SCRUBBER (GENERAL, NOT CLASSIFIED), MIST ELIMINATOR, NITROGEN BLANKET, PACKED-GAS ABSORPTION SYSTEM, PAPER FILTER, REFRIGERATED CONDENSER, SPRAY TOWER, TUBE AND SHELL CONDENSER, VAPOR RECOVERY SYS(INCL.CONDENSERS,HOODING, OTHER ENCLOSURES), VAPOR RECOVERY SYSTEMS, REFRIGERATED, VENTURI SCRUBBER, WET SCRUBBER","0, 1, 10, 100, 103, 105, 106, 107, 11, 110, 115, 118, 12, 13, 132, 133, 134, 136, 137, 14, 140, 15, 150, 16, 18, 19, 2, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 3, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 4, 40, 41, 42, 43, 44, 45, 46, 47, 48, 50, 51, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 65, 66, 67, 68, 7, 75, 76, 8, 81, 82, 9, 90, 93, 94","2-METHYL-2-PROPANOL, 2-METHYL-2-PROPANOL                                           Rating =, 40 CFR 60-63 - TOTAL ORGANIC, 40 CFR 60-63 - TOTAL ORGANIC COMPOUNDS (TOC), ACETIC ACID, ACETIC ACID                           Rating = B, ACETYL CHLORIDE, ACETYL CHLORIDE              Rating =, AMMONIA, AMMONIA                               Rating = B, ARSENIC, BERYLLIUM, CADMIUM, CARBON DIOXIDE EQUIVALENTS, CARBON MONOXIDE, CHLORIDE ION CL-, CHLORINE, CHLORINE                              Rating = A, CHROMIUM, DIMETHYL KETONE, DIMETHYL KETONE                       Rating = C, DIMETHYLDICHLOROSILANE, DIMETHYLDICHLOROSILANE C2H6CL2SI, DIOXANE,1,2- 3,3,6,6-TETRAMETHYL, ETHYL ALCOHOL (ETHANOL) Rating =, ETHYLBENZENE                          Rating = B, HEXAMETHYLCYCLOTRISILOXANE, HEXAMETHYLCYCLOTRISILOXANE                         Rating, HEXAMETHYLDISILOXANE, HEXAMETHYLDISILOXANE                  Rating =, HYDROGEN CHLORIDE, HYDROGEN CHLORIDE                                  Rating =, ISOPROPYL ALCOHOL               Rating =, LEAD, MERCURY, METHYL ALCOHOL, METHYL ALCOHOL                  Rating = B, METHYL CHLORIDE, METHYL CHLORIDE                 Rating = B, METHYLTRICHLOROSILANE, METHYLTRIMETHOXYSILANE, OCTAMETHYLCYCLOTETRA, OCTAMETHYLCYCLOTETRA SILOXANE, OXIDES OF NITROGEN, OXIDES OF NITROGEN                           Rating =, PARTICULATES, PARTICULATES                    Rating = C, PM-10, PM-10                           Rating = C, SILANE,, SILANE, CHLORO METHYL DERIVS, SILANE, CHLORO METHYL DERIVS                 Rating, SILANE, CHLOROETHENYLDIMETHYL, SILANE, DICHLOROETHENYLMETHYL, SILANE, DIMETHOXYDIMETHYL, SILANE, DIMETHOXYDIMETHYL                    Rating =, SILANE, TRICHLOROETHENYL, SILANE,CHLORODIMETHYL, SILANE,CHLORODIMETHYL C2H7CLSI, SILOXANES AND, SILOXANES AND SILICONES,DI-ME, SULFUR DIOXIDE, SULFUR DIOXIDE Rating = B, TETRACHLORO SILANE, TETRACHLORO SILANE                    Rating =, TOLUENE, TOLUENE                Rating = B, TOTAL HAP, VOC, VOC                    Rating = B, XYLENE, M, O & P MIXT.               Rating = B",,,,,,,,
Air State Facility,5415400003,MOHAWK PAPER MILLS INC,,PAPER MILLS,W W T P RD,12188,GEORGE W MILNER,,,Dc,"C-NYW01, P-NYW01, P-NYW02","CENTRIFUGAL, LOW NOx BURNER","110, 31, 4, 55","OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air State Facility,5415400023,EVONIK CORPORATION,EVONIK CORPORATION,7 SCHOOLHOUSE LN,WATERFORD,12188,KEVIN F JORDAN,,,,"0-00001, 0-00002, 0-00005, 0-00006",WET SCRUBBER,"28, 30, 70, 75, 95","CHLORINE, HYDROGEN CHLORIDE, METHYLTRICHLOROSILANE, PARTICULATES",,,,,,,,
Air State Facility,5415600003,NYS DEPT OF CORRECTIONAL SERVICES,NYS MT MCGREGOR CORRECTIONAL FAC,1000 MT MCGREGOR RD,WILTON,12866,"KEITH D RUPERT, PEDRO QUINONES",,,,0-0MAIN,,"115, 98","OXIDES OF NITROGEN, SULFUR DIOXIDE",,,,,,,,
Air Title V Facility,5520500005,FINCH PAPER LLC,FINCH PAPER LLC,1 GLEN ST,GLENS FALLS,12801,SANDRA L LEBARRON,,"A, MM, S",,"1-00000, 100000, 2-00000, 3-00000, 3-10000, 3-20000, 4-00000, 5-00000, 6-00000, 7-00000, 8-00000","CONSERVATION VENT, FABRIC FILTER, FLOATING ROOF, GRAVITY COLLECTOR, MIST ELIMINATOR, PACKED GAS ABSORPTION SYSTEM, GAS, SINGLE CYCLONE, SUBMERGED FILL LINE, WET SCRUBBER","10, 115, 143, 165, 17, 2, 20, 22, 223, 231, 24, 28, 30, 32, 36, 38, 42, 48, 5, 50, 54, 61, 66, 70, 72, 74, 75, 83, 90","CHLORINE, CHLORINE DIOXIDE, METHYL ALCOHOL, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
